Município,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Camutanga (PE),68326,64447,68267,71448,92060,79817,92565,118188,153563,178760,208298,178322.0,167050.0,226246.0,193417.0,190588.0,129393.0,143956.0,142960.0
Canhotinho (PE),45087,47677,53075,61432,70015,77064,81382,91819,98519,114579,124648,136098.0,174535.0,173922.0,198863.0,192954.0,189300.0,210626.0,228009.0
Capoeiras (PE),33748,39737,47083,53109,62176,69712,78221,86380,99091,106763,118428,125955.0,144707.0,150433.0,160263.0,198956.0,212826.0,208942.0,223443.0
Carnaíba (PE),38583,39056,35512,42089,48423,54248,59065,66911,75909,85404,97516,115515.0,135672.0,136364.0,140994.0,144904.0,154579.0,157550.0,174528.0
Carnaubeira da Penha (PE),15712,17465,21946,25091,29931,31977,38741,44828,47155,53251,54442,59614.0,66518.0,65701.0,73997.0,77107.0,78601.0,81542.0,84886.0
Carpina (PE),213788,253125,289908,326469,362541,403772,440461,477927,711552,772909,949327,1019101.0,1198805.0,1184604.0,1276878.0,1318644.0,1447344.0,1593291.0,1697949.0
Caruaru (PE),1005382,1130389,1497799,1684148,1878596,2207162,2502115,2722791,3417378,3939283,4809622,5300774.0,6263040.0,6129055.0,6261484.0,6874476.0,7147897.0,7604314.0,7518244.0
Casinhas (PE),19039,21382,25498,29847,31717,35299,41990,50146,63527,68951,64292,68748.0,74636.0,75585.0,81196.0,90218.0,94887.0,95266.0,101964.0
Catende (PE),81480,72333,83829,96143,106721,120673,128508,162039,213141,203995,206493,240803.0,266167.0,254555.0,264656.0,289144.0,285711.0,297305.0,324147.0
Cedro (PE),15713,17706,19731,22286,26229,29602,36211,38983,40678,56020,58239,66097.0,72077.0,74944.0,79587.0,87530.0,88577.0,96601.0,101519.0
Chã de Alegria (PE),27865,24383,27602,27809,32972,36565,39371,46383,58386,62332,63167,74628.0,82675.0,129253.0,123445.0,137538.0,149109.0,161137.0,168585.0
Chã Grande (PE),43217,47288,60761,66969,76779,82328,94086,111311,122339,127946,130510,148390.0,161507.0,165589.0,177495.0,207865.0,199845.0,221440.0,240357.0
Condado (PE),44784,46827,51094,56996,69512,73418,84214,100033,116037,128694,150451,166327.0,181699.0,191826.0,204465.0,214311.0,221435.0,232793.0,243216.0
Correntes (PE),34228,38910,40755,45945,52957,57756,62448,70090,75904,86144,92224,103763.0,111940.0,127158.0,133370.0,151074.0,149819.0,174168.0,184198.0
Cortês (PE),37511,46594,50738,58280,61264,57637,64614,80259,113094,131227,103497,92527.0,107719.0,104855.0,125968.0,105235.0,119298.0,114981.0,114116.0
Cumaru (PE),35759,39440,45926,54306,61793,50349,58064,59145,86152,93004,91736,86252.0,92807.0,96413.0,99239.0,97608.0,96890.0,96126.0,109846.0
Cupira (PE),45950,51114,56989,66899,73274,78317,89034,104364,128803,145998,174001,189583.0,213677.0,219798.0,227187.0,265406.0,263954.0,276388.0,292039.0
Custódia (PE),61579,67990,75817,91641,99374,117765,137428,167436,232834,237343,276960,284090.0,326659.0,339513.0,366080.0,428276.0,497247.0,502253.0,518556.0
Dormentes (PE),26333,36923,44278,47235,48405,56344,73397,77958,94863,117595,134832,149358.0,164596.0,160688.0,196360.0,214781.0,217241.0,220573.0,222531.0
Escada (PE),179119,204228,210903,230584,247430,269757,314122,406387,499040,464270,570559,663159.0,749816.0,714965.0,772482.0,871233.0,989053.0,1062343.0,1135340.0
Exu (PE),53503,61533,66999,76366,95677,102927,107983,119482,141179,153231,160364,187868.0,205477.0,209976.0,223198.0,238194.0,268481.0,288999.0,314560.0
Feira Nova (PE),28684,32236,36198,41626,46084,51518,59227,68946,80527,88950,111879,128068.0,138581.0,148819.0,167016.0,190754.0,191029.0,202775.0,211970.0
Fernando de Noronha (PE),22164,23905,28693,29535,32828,32843,37334,41976,57331,66735,71672,75858.0,94665.0,98289.0,124339.0,153534.0,161373.0,192775.0,136712.0
Ferreiros (PE),29599,30302,32209,37986,43712,51280,57886,62079,74248,81390,79866,94241.0,91045.0,90349.0,102205.0,106839.0,112179.0,111401.0,109986.0
Flores (PE),32878,39873,38656,48368,59272,58892,72585,80489,83016,99134,99310,108087.0,124764.0,122100.0,144801.0,183259.0,170087.0,179391.0,183787.0
Floresta (PE),71190,94461,112627,109139,119677,135446,155762,197492,248290,288008,334830,357062.0,368312.0,359574.0,395890.0,412537.0,417435.0,432067.0,410239.0
Frei Miguelinho (PE),19678,20276,23988,28853,30709,35877,43647,49747,55435,60497,68029,73924.0,84320.0,91349.0,97544.0,108779.0,115765.0,126838.0,133073.0
Gameleira (PE),44447,46667,57676,73193,78471,84989,94605,109977,114988,136236,139910,167754.0,190272.0,196206.0,236503.0,205405.0,220789.0,236773.0,242332.0
Garanhuns (PE),432351,468232,547987,625313,719340,807763,895109,986376,1201193,1366285,1582564,1798795.0,1865104.0,1988101.0,2090674.0,2342216.0,2441500.0,2605080.0,2995776.0
Glória do Goitá (PE),48986,55938,61775,69888,78450,83387,93394,105373,123207,130784,166981,266069.0,368140.0,375755.0,399796.0,479264.0,456510.0,415695.0,473303.0
Goiana (PE),394160,465725,437150,472100,521923,581616,686158,767738,901542,986928,1197161,1523593.0,2417853.0,3928984.0,5570161.0,9154029.0,9225149.0,10070555.0,7469510.0
Granito (PE),11636,11665,13030,14875,18131,20201,28593,30401,33838,35283,39014,43319.0,47792.0,51669.0,55864.0,57273.0,68590.0,69618.0,73775.0
Gravatá (PE),172337,194297,227507,259565,281633,325173,370660,417620,548708,646685,752719,854681.0,949021.0,935712.0,1015770.0,1068764.0,1124633.0,1232567.0,1245187.0
Iati (PE),27081,29313,36557,38579,40388,51173,65416,72711,72340,81882,94871,103854.0,116668.0,133904.0,144604.0,148614.0,162031.0,175239.0,197405.0
Ibimirim (PE),50631,56864,62626,79309,84799,105061,130630,161119,156426,165853,176975,186120.0,217210.0,228963.0,254698.0,255886.0,259446.0,287224.0,311940.0
Ibirajuba (PE),14331,14320,18984,22125,28046,25807,29382,31624,35655,38310,38547,41028.0,51813.0,53019.0,56029.0,60412.0,60773.0,64097.0,70154.0
Igarassu (PE),415542,499201,566889,605005,754109,782993,1014023,1097248,1244019,1420640,1581025,1960412.0,2342659.0,2520261.0,2349046.0,2479515.0,2530161.0,2662077.0,2648115.0
Iguaracy (PE),20878,22889,26287,29927,35052,34845,41417,45180,44467,51406,54487,58893.0,71593.0,72580.0,79331.0,87799.0,89710.0,97378.0,99616.0
Inajá (PE),22143,29213,30929,41037,45796,52260,60021,71300,81520,95747,117425,110578.0,128620.0,140279.0,153838.0,155264.0,167120.0,175464.0,189409.0
Ingazeira (PE),12511,13601,12790,15659,19073,17790,20412,23834,21277,27875,28031,27236.0,34221.0,37079.0,33362.0,34026.0,36207.0,37849.0,40500.0
Ipojuca (PE),666193,724316,1127969,1569490,1707230,2191525,2697465,3646874,5404486,5791875,7286940,7895299.0,7192677.0,8325554.0,11014801.0,10892224.0,11566787.0,12785153.0,13614273.0
Ipubi (PE),46944,46849,50461,59829,77208,85088,97850,105868,131970,150626,177761,206381.0,212761.0,235669.0,254277.0,269160.0,293126.0,320412.0,359667.0
Itacuruba (PE),15618,15607,14917,15301,17507,18722,20881,25247,30961,38328,41137,42858.0,53928.0,49752.0,53161.0,53413.0,55396.0,61943.0,65972.0
Itaíba (PE),41144,46735,55843,67551,80886,96867,118579,133716,137037,152552,151120,162749.0,165890.0,174405.0,192632.0,204578.0,215564.0,238607.0,266888.0
Ilha de Itamaracá (PE),52066,50889,59313,67804,71835,73738,76046,88329,108150,128189,142852,179021.0,213944.0,208742.0,223094.0,239364.0,249443.0,254073.0,260103.0
Itambé (PE),92963,106212,104422,120922,153352,157238,192932,198377,214506,238508,244179,270184.0,358831.0,379557.0,464334.0,494818.0,424626.0,460580.0,497812.0
Itapetim (PE),25529,26999,28757,30264,36257,39730,43657,48083,54543,64066,61090,66954.0,84984.0,87568.0,94197.0,102328.0,109349.0,113634.0,118358.0
Itapissuma (PE),293453,324889,327808,359450,344266,390107,445251,436137,464780,515085,660575,1108225.0,1364119.0,1313939.0,1211172.0,1398744.0,1562740.0,1853976.0,2010207.0
Itaquitinga (PE),36805,39739,40621,43162,55099,55817,71659,84559,144367,223289,142876,116693.0,141569.0,152428.0,130487.0,129665.0,131862.0,139161.0,138324.0
Jaboatão dos Guararapes (PE),2752387,3081451,3568221,4085464,4585963,5305071,6009544,6842489,7586200,8684332,10484473,12089771.0,13449683.0,13324825.0,13405930.0,13540091.0,13359060.0,13894358.0,13295777.0
Jaqueira (PE),44403,28797,31398,32925,40258,43458,49960,54190,56164,61326,59833,67533.0,77683.0,79378.0,89450.0,101857.0,108723.0,98892.0,100725.0
Jataúba (PE),25323,27095,30996,35161,41205,45211,52087,61718,69387,78902,90482,92670.0,102360.0,104475.0,115146.0,119044.0,124644.0,135241.0,145030.0
Jatobá (PE),32188,27125,31794,34998,37068,42399,45575,57293,62557,68870,80981,94089.0,103377.0,104063.0,107626.0,122689.0,125023.0,130997.0,133400.0
João Alfredo (PE),46996,50126,56129,65609,77118,86372,99507,118593,129161,151376,176604,201565.0,215588.0,215545.0,234155.0,272380.0,292039.0,309016.0,317215.0
Joaquim Nabuco (PE),82013,70499,61786,51235,54825,81146,95555,106772,118083,114605,151201,86920.0,95120.0,109098.0,122048.0,125465.0,183224.0,134142.0,140697.0
Jucati (PE),15319,20952,24196,26610,33093,38886,46007,49856,47854,52783,64109,70032.0,72548.0,82950.0,94173.0,103835.0,100434.0,115409.0,123791.0
Jupi (PE),23851,31508,35712,37834,42603,49322,55270,63738,64570,74437,85648,103405.0,111482.0,119277.0,138470.0,153355.0,155510.0,170112.0,185918.0
Jurema (PE),31903,31885,31810,36825,43440,46455,53638,59784,63128,88351,75293,80409.0,86270.0,90683.0,101360.0,118749.0,104194.0,109671.0,114074.0
Lagoa do Carro (PE),40235,40406,42589,52173,53153,58724,59980,68282,81573,94147,107637,125280.0,151023.0,165925.0,201866.0,228047.0,247482.0,285715.0,273053.0
Lagoa de Itaenga (PE),78008,95056,108210,128005,111721,117724,133305,182214,205505,199514,219278,197247.0,237968.0,266120.0,289014.0,309511.0,320517.0,338755.0,318581.0
Lagoa do Ouro (PE),20893,22031,26004,29271,33865,39541,42085,46966,48887,56248,64257,69555.0,88209.0,94732.0,104262.0,112483.0,115748.0,120608.0,130522.0
Lagoa dos Gatos (PE),27746,28494,32477,37630,41074,44430,48186,53807,61841,67923,74566,79803.0,88185.0,92973.0,97710.0,128980.0,140210.0,112276.0,115586.0
Lagoa Grande (PE),60095,73359,76442,94871,111410,129174,146387,151248,181352,189174,206926,263259.0,257088.0,256751.0,287730.0,327416.0,320781.0,392684.0,380783.0
Lajedo (PE),73086,77264,99924,104747,125960,149950,154335,187481,191951,229515,267355,324636.0,381597.0,367335.0,410109.0,451077.0,446606.0,488772.0,494081.0
Limoeiro (PE),148235,157103,170843,191851,213088,238782,263841,284321,351643,395027,476889,539835.0,597236.0,607820.0,689023.0,743385.0,775996.0,805489.0,752891.0
Macaparana (PE),51305,58274,68720,77031,88298,85530,91424,106838,127859,140859,166151,185923.0,213843.0,224987.0,245292.0,242580.0,238643.0,286367.0,324092.0
Machados (PE),36485,24598,30459,32975,55833,57659,52453,60294,81179,81900,102651,102931.0,115315.0,101404.0,181474.0,200850.0,212060.0,190359.0,184145.0
Manari (PE),17572,17776,22691,26865,35367,43755,53393,63913,67476,79576,78257,87796.0,98422.0,101472.0,115891.0,118784.0,122111.0,132542.0,145440.0
Maraial (PE),30745,36283,41707,48709,52149,55656,51991,67187,82832,89749,60375,65216.0,67940.0,70629.0,78501.0,85685.0,87369.0,84970.0,92643.0
Mirandiba (PE),19657,24155,26300,33277,45569,44870,49850,61802,68526,78248,87734,104043.0,118714.0,126355.0,141065.0,155980.0,151207.0,158769.0,160290.0
Moreno (PE),142053,167971,189215,213663,264969,272215,277503,312778,342814,377378,413527,488626.0,560229.0,567983.0,630344.0,682721.0,656957.0,695850.0,759083.0
Nazaré da Mata (PE),112999,125767,138630,127382,159397,156402,174357,196221,236000,268489,320060,349619.0,402375.0,423492.0,469784.0,520236.0,527639.0,548700.0,590819.0
Olinda (PE),1453992,1455443,1705688,1890770,2112418,2211472,2464444,2768321,3479823,3889369,4404632,4899995.0,5348686.0,5272572.0,5271214.0,5437636.0,5534197.0,5772696.0,5627058.0
Orobó (PE),57111,59142,68046,75878,90368,95384,96964,112804,126101,140991,176545,199940.0,225019.0,261420.0,311810.0,333792.0,321650.0,353902.0,373202.0
Orocó (PE),25962,40198,47140,51901,51087,60927,91154,88198,112159,99014,114678,138099.0,150080.0,158913.0,212003.0,151483.0,173748.0,188642.0,175355.0
Ouricuri (PE),116127,122151,144953,175446,193194,215830,235692,263561,302985,332911,380335,435273.0,493483.0,501423.0,552333.0,612240.0,666759.0,710356.0,711391.0
Palmares (PE),165432,172804,201722,243508,271991,326746,367969,441263,484107,554135,653201,760503.0,813566.0,784772.0,813866.0,833618.0,800113.0,853498.0,832184.0
Palmeirina (PE),16250,19787,21755,24089,27456,28967,32576,35010,36329,40238,43493,49784.0,56937.0,63865.0,72701.0,72513.0,68730.0,72633.0,74871.0
Panelas (PE),41139,47257,51238,56538,65944,72653,86005,92761,103495,113806,126485,137346.0,152974.0,159629.0,163803.0,175759.0,190136.0,194432.0,208042.0
Paranatama (PE),15082,18753,21517,24466,30539,39016,46736,50655,48323,56704,65799,63151.0,74544.0,106862.0,197585.0,242841.0,285815.0,219453.0,214128.0
Parnamirim (PE),37689,39361,43281,52808,63230,67106,75361,85846,103284,120582,137221,143153.0,157955.0,152050.0,165590.0,163905.0,166862.0,180999.0,185681.0
Passira (PE),43223,49550,56388,63646,76954,79469,95245,106253,124260,137800,145121,164441.0,189465.0,185144.0,207198.0,219998.0,224556.0,231215.0,230801.0
Paudalho (PE),131024,130970,126338,163133,190282,214991,221298,255175,310726,351104,435135,457881.0,514209.0,596613.0,671465.0,758366.0,796735.0,872034.0,832246.0
Paulista (PE),871070,918506,1014293,1101729,1254719,1441593,1701468,1863690,2155696,2723359,3454293,3772154.0,4182900.0,4001582.0,3803798.0,4018623.0,4190121.0,4542570.0,4526572.0
Pedra (PE),33867,38377,47352,59711,71405,65203,91015,96008,104870,115959,125970,147309.0,150838.0,206289.0,214332.0,243944.0,249141.0,250761.0,212945.0
Pesqueira (PE),129778,140045,161531,182641,219022,245507,277168,307982,353864,388135,487066,555170.0,604086.0,633189.0,644277.0,691904.0,688578.0,728023.0,761269.0
Petrolândia (PE),440598,564257,588020,507543,555249,615783,635839,598256,932345,891557,1067584,443407.0,580015.0,855688.0,898029.0,1078866.0,1329896.0,1477551.0,1774562.0
Petrolina (PE),1142406,1361865,1504295,1805349,1867105,2038883,2377067,2662758,3434155,3781200,4441302,4882785.0,5325907.0,5550217.0,5764621.0,5988818.0,6686069.0,7263773.0,6879661.0
Poção (PE),19843,20296,24100,30501,32992,38052,41473,42679,50005,55306,59869,66423.0,72965.0,74299.0,78902.0,85549.0,83989.0,86409.0,89032.0
Pombos (PE),52883,61855,66704,81754,89656,94658,107024,123874,161601,193836,224131,250985.0,298836.0,316184.0,336850.0,363983.0,365651.0,437939.0,479772.0
Primavera (PE),49951,53207,57277,59841,70399,69058,63466,85558,131399,127795,126547,130795.0,131693.0,140481.0,158817.0,168864.0,158397.0,167584.0,263578.0
Quipapá (PE),44721,47073,46900,52367,58799,64568,74389,102606,150189,156238,139310,143411.0,166485.0,172929.0,192355.0,175507.0,179653.0,184444.0,186005.0
Quixaba (PE),17533,16244,15214,17657,21117,22141,24616,26789,25990,32454,33875,37302.0,42973.0,41157.0,49271.0,49179.0,53034.0,56367.0,57747.0
Recife (PE),14191374,14315781,16930236,18411181,20034536,22807919,24657610,28015832,33369681,37630879,42890606,46771183.0,50515887.0,48059861.0,49405397.0,51839333.0,52404684.0,54688386.0,50311002.0
Riacho das Almas (PE),30921,35210,37957,43281,57412,63012,71493,81817,95539,102770,120761,132413.0,160184.0,157550.0,153238.0,166293.0,181668.0,192932.0,217391.0
Ribeirão (PE),94586,108724,123786,143109,160654,158276,190460,220348,265945,286722,305727,329983.0,373601.0,368780.0,410767.0,387435.0,447034.0,463996.0,493739.0
Rio Formoso (PE),98448,98642,135051,135819,150992,136960,138111,133339,185176,192835,228327,214780.0,229496.0,247717.0,273842.0,259964.0,265242.0,270574.0,309163.0
Sairé (PE),28951,30378,34141,40682,47524,49298,55200,62317,95253,104248,105325,102350.0,121148.0,136803.0,150976.0,144528.0,125413.0,136525.0,168389.0
Salgadinho (PE),11547,13020,13825,16302,18417,20736,23725,26465,37427,41404,41449,43979.0,49470.0,51681.0,58288.0,62142.0,67496.0,71621.0,77727.0
Salgueiro (PE),154506,155657,185303,211028,230395,272715,329560,381952,858894,882514,799998,658744.0,776671.0,744482.0,784309.0,792338.0,858900.0,978170.0,969877.0
Saloá (PE),25889,27046,31887,36733,41550,47435,59359,62091,65963,72844,81894,92905.0,106997.0,110964.0,120161.0,143490.0,127179.0,143763.0,150198.0
Sanharó (PE),33630,36577,41442,49885,57448,65003,73346,84714,102757,113985,131543,147157.0,162989.0,169494.0,178103.0,193910.0,199185.0,212049.0,217739.0
Santa Cruz (PE),19876,20110,22197,27088,30513,34442,47173,54345,53712,64206,67643,78769.0,88523.0,91094.0,97963.0,100486.0,108712.0,121362.0,130968.0
Santa Cruz da Baixa Verde (PE),15741,17429,19333,22442,26116,28218,33577,39735,42446,46040,50397,57869.0,67244.0,68588.0,79023.0,83542.0,90590.0,98057.0,126212.0
Santa Cruz do Capibaribe (PE),183089,192227,244254,285026,359963,430267,514770,546076,727015,852564,1017659,1112948.0,1261072.0,1247036.0,1300317.0,1428003.0,1511758.0,1584810.0,1549852.0
Santa Filomena (PE),19545,19987,22081,27526,31852,31480,39827,46864,49851,54274,58602,63204.0,73970.0,75239.0,82616.0,91193.0,97973.0,101123.0,109429.0
Santa Maria da Boa Vista (PE),103699,136581,187334,209842,230702,237417,300579,276938,285502,280809,342768,419963.0,442531.0,431807.0,441072.0,516363.0,659712.0,650084.0,591773.0
Santa Maria do Cambucá (PE),18169,19725,23815,25761,30464,34137,38676,44473,55950,66068,71174,71842.0,80696.0,85053.0,94945.0,101705.0,102554.0,110910.0,117906.0
Santa Terezinha (PE),22994,21664,20932,22805,25702,29458,32674,34662,37797,48967,50431,54309.0,62193.0,66655.0,76148.0,81836.0,85903.0,90681.0,92572.0
São Benedito do Sul (PE),19654,19488,22777,28346,29894,35048,36577,40683,50215,63465,67420,69033.0,76591.0,79765.0,97754.0,96157.0,96599.0,103110.0,106077.0
São Bento do Una (PE),122058,129887,121769,162685,210410,237371,259158,292776,348342,491223,595750,649597.0,734693.0,836829.0,966182.0,953021.0,1085466.0,1297073.0,1335884.0
São Caitano (PE),59140,60170,71302,84809,97589,106967,118381,140819,167385,195544,216122,249658.0,303404.0,317449.0,321975.0,350467.0,357382.0,377493.0,406434.0
São João (PE),37898,49189,55596,51453,59360,77095,76564,92272,97079,109291,129387,150420.0,159140.0,160587.0,200962.0,202370.0,224887.0,238714.0,264106.0
São Joaquim do Monte (PE),35872,40395,46254,55396,56179,61794,71756,81481,121436,123576,115771,119288.0,132182.0,143238.0,152766.0,168133.0,160376.0,168508.0,175782.0
São José da Coroa Grande (PE),27710,31728,38011,39349,45620,53906,61260,77796,93313,126571,163463,181662.0,205035.0,179212.0,193050.0,251044.0,231866.0,241052.0,251483.0
São José do Belmonte (PE),55173,74920,73947,77975,93271,95563,109611,126389,143041,167993,186196,203231.0,227600.0,220638.0,247225.0,256606.0,271906.0,290444.0,303735.0
São José do Egito (PE),76491,78848,85070,94576,111790,117945,132624,145826,162589,182920,206379,243016.0,298310.0,298657.0,298691.0,362827.0,384202.0,409718.0,393329.0
São Lourenço da Mata (PE),226813,242938,241950,251967,280314,303798,366701,423223,553856,796682,1047666,819448.0,910032.0,979004.0,1050789.0,1107233.0,1180681.0,1260878.0,1314286.0
São Vicente Férrer (PE),46251,54880,73585,87597,100137,84365,86871,86776,98702,119289,138315,162084.0,208882.0,188903.0,225145.0,235668.0,213149.0,273290.0,213880.0
Serra Talhada (PE),272640,260587,294910,331018,393259,443239,526134,586658,746908,902032,1027708,1090726.0,1252558.0,1228482.0,1284216.0,1336854.0,1373071.0,1541923.0,1583082.0
Serrita (PE),28992,30566,36204,41070,45764,52733,64635,70258,73744,88884,98463,105813.0,114302.0,118649.0,134694.0,136759.0,134469.0,138322.0,148601.0
Sertânia (PE),61799,65782,73139,85865,93143,100212,120267,197999,201493,190651,211000,225298.0,252696.0,270546.0,285901.0,278580.0,492188.0,550207.0,360987.0
Sirinhaém (PE),97754,119778,149778,164025,181323,189725,207281,246701,358797,369841,411496,422508.0,486856.0,507264.0,559962.0,482254.0,489112.0,521639.0,586992.0
Moreilândia (PE),19442,23121,23839,28109,31231,33079,38998,42297,48480,51587,60752,68026.0,75837.0,69917.0,79967.0,81056.0,81823.0,84527.0,89463.0
Solidão (PE),11632,13414,12793,15166,17628,18211,18820,23657,25159,28781,29675,33768.0,37974.0,37011.0,38889.0,41238.0,43969.0,45960.0,48858.0
Surubim (PE),111594,116957,135215,159803,182220,208918,244894,273837,398380,442607,538659,596604.0,662351.0,654815.0,699165.0,771621.0,753827.0,811231.0,821966.0
Tabira (PE),47426,49084,56621,69071,76693,81185,92404,104828,113400,128855,151991,188414.0,210482.0,210454.0,226257.0,249010.0,265323.0,280114.0,284171.0
Tacaimbó (PE),23565,24618,27109,33182,38286,40360,44629,49899,54311,62232,67036,81637.0,96813.0,103108.0,115003.0,126850.0,162561.0,199827.0,156567.0
Tacaratu (PE),26140,29487,35348,40265,43878,50727,59939,65193,79676,90182,100462,117543.0,141935.0,275464.0,149948.0,170629.0,173299.0,182010.0,204058.0
Tamandaré (PE),42759,49697,58117,68599,80397,80567,99623,112153,159827,190233,219413,208656.0,232456.0,241838.0,276930.0,285437.0,288748.0,318602.0,335931.0
Taquaritinga do Norte (PE),41718,43331,49888,56947,64302,68717,93009,103413,119355,136359,179096,193041.0,212457.0,203769.0,224758.0,264907.0,280491.0,298669.0,291228.0
Terezinha (PE),9559,12729,14559,15714,16455,19472,24360,26606,31545,36253,34530,37921.0,43315.0,47387.0,51913.0,51415.0,61735.0,65855.0,70058.0
Terra Nova (PE),12543,13503,15789,21410,21893,26708,30866,38676,38700,43037,50649,52948.0,57473.0,58094.0,62601.0,67358.0,68546.0,70550.0,79876.0
Timbaúba (PE),176902,216676,244133,258977,313658,333448,359160,408517,471339,520299,591619,592476.0,644281.0,601959.0,619712.0,646914.0,680166.0,674681.0,673361.0
Toritama (PE),54358,67000,91104,107658,130391,161571,190240,200160,282076,357136,528127,576422.0,599977.0,571132.0,579219.0,624256.0,654925.0,707041.0,707404.0
Tracunhaém (PE),36697,41046,43876,47599,56702,56754,64491,74377,79874,85657,82967,84863.0,95902.0,106811.0,103239.0,101545.0,117338.0,128482.0,137614.0
Trindade (PE),50560,59565,58448,69133,85660,86465,114417,129295,157479,186384,213982,261824.0,273605.0,284063.0,291089.0,281806.0,315848.0,323139.0,344865.0
Triunfo (PE),28106,30357,31070,35831,41761,46491,52665,60906,66198,78199,87501,101882.0,112670.0,110441.0,130760.0,138856.0,142026.0,148213.0,146940.0
Tupanatinga (PE),30349,33923,40058,48582,56448,63657,74369,84514,98192,109655,127908,134988.0,146793.0,150550.0,172195.0,184072.0,186211.0,193352.0,200473.0
Tuparetama (PE),17537,19419,20319,22728,27288,29957,34088,36179,38870,46444,52284,56900.0,63785.0,64689.0,68985.0,75771.0,78740.0,82627.0,79114.0
Venturosa (PE),26276,28059,33530,41376,46635,54577,63511,69156,79376,93743,106324,109806.0,129587.0,142730.0,169835.0,207678.0,215673.0,210035.0,221338.0
Verdejante (PE),15646,16788,17791,22854,25545,24478,40206,37743,37419,43785,45099,50109.0,58498.0,58781.0,62126.0,64763.0,68365.0,75526.0,72259.0
Vertente do Lério (PE),17277,18711,20159,23576,25638,27660,32293,36475,52062,57014,60197,67685.0,56594.0,61343.0,58956.0,67084.0,60023.0,67407.0,74898.0
Vertentes (PE),25201,27901,32400,35114,42525,47177,56370,64551,80661,91222,112239,126498.0,140663.0,161396.0,147148.0,153694.0,160054.0,171556.0,178813.0
Vicência (PE),103299,120888,139004,167467,193410,175109,179654,196817,214258,251245,274324,288686.0,344479.0,342274.0,378060.0,357346.0,344567.0,475941.0,448980.0
Vitória de Santo Antão (PE),425549,478241,542737,625235,690138,798781,945066,1073335,1461947,1789173,2219786,2583944.0,2950014.0,3090716.0,3207949.0,3691415.0,3718470.0,4193093.0,4205949.0
Xexéu (PE),24768,26518,30815,36816,40485,46153,49136,61965,65972,77146,76279,77246.0,92745.0,105004.0,114477.0,104721.0,123570.0,126996.0,136406.0
Água Branca (AL),36381,31836,35366,46818,50540,57624,69416,68033,73774,128805,131486,106273.0,111654.0,115971.0,126126.0,136648.0,141121.0,159756.0,166660.0
Anadia (AL),65572,55365,55926,64276,74032,74771,86090,99646,85608,106699,107645,116960.0,125747.0,126221.0,142668.0,141403.0,164867.0,200940.0,232436.0
Arapiraca (AL),642115,684525,772296,893674,1045487,1243049,1368640,1627700,1908879,2187572,2789061,2973621.0,3436667.0,3935792.0,3892760.0,4104162.0,4466701.0,4964721.0,5233674.0
Atalaia (AL),139861,173112,205023,211837,217469,225923,285787,298086,290761,354538,342775,363297.0,416620.0,493818.0,622204.0,766075.0,763995.0,948281.0,1077112.0
Barra de Santo Antônio (AL),39174,37815,41905,46943,52563,55939,68705,71689,74793,81569,87036,116982.0,124802.0,135259.0,172241.0,160796.0,177229.0,183872.0,204559.0
Barra de São Miguel (AL),34125,31079,32083,37939,40719,46487,54917,62869,67809,85810,104920,114710.0,125504.0,144500.0,158460.0,171264.0,194584.0,214359.0,227378.0
Batalha (AL),45376,48433,50812,49316,48226,58811,67056,64241,68777,82592,96048,115255.0,121649.0,147463.0,161695.0,174238.0,167211.0,170568.0,190692.0
Belém (AL),10685,11335,13111,14857,17177,16802,18961,21300,24114,25173,30987,33546.0,31806.0,35077.0,36110.0,38220.0,84427.0,113034.0,179197.0
Belo Monte (AL),24332,18453,22791,22818,23341,33851,29065,34821,37167,40095,40653,61633.0,57952.0,70829.0,64308.0,83338.0,79110.0,100408.0,116390.0
Boca da Mata (AL),124752,125030,133682,143984,154905,163461,173928,196495,197707,248430,243990,271561.0,325783.0,298136.0,267986.0,268988.0,329475.0,352915.0,450512.0
Branquinha (AL),34060,41915,40206,46080,49824,52589,60566,68182,65198,57449,46788,48522.0,63156.0,153516.0,375433.0,395000.0,497048.0,505624.0,690818.0
Cacimbinhas (AL),17014,16864,21838,25524,27304,29660,39731,40593,41937,46455,55950,64171.0,70416.0,79688.0,77752.0,88262.0,94176.0,101777.0,115876.0
Cajueiro (AL),51755,69750,63025,71645,76130,81954,93484,96990,95208,104574,134442,128290.0,135658.0,141147.0,153730.0,171715.0,183724.0,176176.0,193910.0
Campestre (AL),25415,31026,19640,20387,21945,24786,29831,35141,32257,40403,43358,50414.0,52649.0,55584.0,56852.0,63955.0,58327.0,62310.0,61777.0
Campo Alegre (AL),139367,150194,157194,181527,192781,190129,201621,228325,245301,301378,308315,302642.0,341644.0,396667.0,446781.0,496451.0,459429.0,521383.0,606217.0
Campo Grande (AL),14997,20784,20417,20492,24577,28781,34738,36984,36075,47215,49391,55729.0,59237.0,68112.0,70688.0,83662.0,85648.0,92791.0,91062.0
Canapi (AL),24433,21007,24117,34454,39167,45658,58176,57249,61549,68364,72485,75418.0,78908.0,93293.0,100616.0,108273.0,117407.0,125447.0,134880.0
Capela (AL),76490,86992,82412,80739,86367,91784,107671,112215,113002,101191,125675,146771.0,147254.0,157666.0,183165.0,179071.0,183936.0,189975.0,213771.0
