Município,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Governador Jorge Teixeira (RO),43979,62246,70768,79524,86654,82944,95028,94025,111130,112253,118735,140140.0,145566.0,154876.0,163293.0,178524.0,178491.0,177942.0,200590.0
Itapuã do Oeste (RO),37463,42517,47321,53835,72992,64746,77624,79554,90690,117104,128141,139589.0,133036.0,143840.0,153760.0,158293.0,173175.0,184657.0,192783.0
Ministro Andreazza (RO),37732,52108,53368,56162,55796,67101,86018,86288,99692,116881,124807,146641.0,167762.0,170866.0,189597.0,215810.0,205983.0,216434.0,224922.0
Mirante da Serra (RO),45239,63203,68871,72023,74791,81541,98424,103671,114869,119478,130632,134517.0,162908.0,178007.0,191943.0,205082.0,218549.0,216961.0,231692.0
Monte Negro (RO),49520,66006,79488,83709,98361,96250,111323,120497,143417,176274,181390,205600.0,218407.0,229497.0,242608.0,267804.0,284071.0,291812.0,340951.0
Nova União (RO),28852,40427,41278,44191,48789,49455,58312,62956,70739,76050,85014,86792.0,93875.0,103160.0,106656.0,121147.0,121109.0,117350.0,128839.0
Parecis (RO),15886,21893,22876,24678,26628,31809,39928,43204,49986,56027,61508,71097.0,78819.0,84439.0,91389.0,99549.0,106828.0,107301.0,120834.0
Pimenteiras do Oeste (RO),14809,21182,23158,23939,26912,29134,37347,40422,43812,53250,80775,77664.0,76783.0,79777.0,89278.0,99367.0,104550.0,116514.0,148849.0
Primavera de Rondônia (RO),18167,25260,23638,21113,23165,25562,31804,32641,35105,38302,43790,47727.0,52854.0,53386.0,58681.0,62900.0,60540.0,61854.0,66483.0
São Felipe D'Oeste (RO),23124,30784,34179,37594,40951,44705,54757,55940,58727,61616,67923,70826.0,73856.0,78389.0,84807.0,87273.0,89557.0,89254.0,102297.0
São Francisco do Guaporé (RO),49113,70765,86683,95814,100399,107923,135322,156875,173610,200906,223069,245948.0,266619.0,293297.0,318965.0,335648.0,352819.0,353339.0,397791.0
Seringueiras (RO),39708,62860,68072,72914,75032,76674,91524,98812,117281,134333,141930,157939.0,166738.0,180367.0,200123.0,232724.0,234736.0,236261.0,250607.0
Teixeirópolis (RO),20170,28647,30438,31487,32294,34054,41414,44347,50001,56623,63277,67681.0,72074.0,79344.0,82670.0,83325.0,89190.0,92344.0,97364.0
Theobroma (RO),40171,56753,58647,67655,71517,72277,92540,93931,105535,104328,125796,128042.0,137147.0,153737.0,169717.0,185034.0,191947.0,191524.0,213026.0
Urupá (RO),47558,67027,75804,82257,82955,83114,105172,111032,121359,129845,128811,150563.0,171461.0,183100.0,196242.0,200082.0,217076.0,215416.0,227801.0
Vale do Anari (RO),24444,36890,45244,56445,55192,60872,79440,81947,91480,89772,105600,99751.0,106054.0,118306.0,133118.0,143303.0,159964.0,166804.0,180730.0
Vale do Paraíso (RO),34692,55970,55792,60209,62414,67854,85349,80138,89263,92336,95927,108134.0,117706.0,124700.0,130588.0,142330.0,150080.0,146544.0,161268.0
